theIndex,GeocoderAddress,GeocoderCountry,GeocoderState,GeocoderCity,GeocoderX,GeocoderY,CityCountyScale,Url,Date
11419,Polska,Polska,,,19.134422,52.215933,False,http://twitter.com/martajaniszews5/statuses/1322113227258535936,2020-10-30 09:48:51
12434,Deutschland,Deutschland,,,10.4478313,51.1638175,False,http://twitter.com/cronhill/statuses/1306307956468744194,2020-09-16 19:04:21
13400,"Derbyshire, England, United Kingdom",United Kingdom,England,,-1.556617931,53.1185033,True,http://twitter.com/EurofinsAgro/statuses/1298661056135548928,2020-08-26 16:38:18
13400,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/EurofinsAgro/statuses/1298661056135548928,2020-08-26 16:38:18
13400,Ōu,,,,10.0,51.0,False,http://twitter.com/EurofinsAgro/statuses/1298661056135548928,2020-08-26 16:38:18
13487,Россия,Россия,,,97.7453061,64.6863136,False,http://twitter.com/ProMED_mail/statuses/1296441795027574785,2020-08-20 13:39:45
13494,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/CortevaUK/statuses/1296392597338980358,2020-08-20 10:24:15
13494,Éire / Ireland,Éire / Ireland,,,-7.9794599,52.865196,False,http://twitter.com/CortevaUK/statuses/1296392597338980358,2020-08-20 10:24:15
13566,"定西市, 安定区, 定西市, 甘肃省, 中国",中国,甘肃省,定西市,104.6229826,35.5810207,True,http://twitter.com/Miranda32792718/statuses/1295317122713714693,2020-08-17 11:10:42
13566,中国,中国,,,104.999927,35.000074,False,http://twitter.com/Miranda32792718/statuses/1295317122713714693,2020-08-17 11:10:42
13566,"甘肃省, 中国",中国,甘肃省,,101.9999999,38.0000001,False,http://twitter.com/Miranda32792718/statuses/1295317122713714693,2020-08-17 11:10:42
13693,Perú,Perú,,,-75.0458515,-6.8699697,False,http://twitter.com/CGSpaceResearch/statuses/1291706378210480129,2020-08-07 12:02:53
14244,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/FarmRadioFM/statuses/1283388604505563140,2020-07-15 13:11:02
14464,Türkiye,Türkiye,,,34.9249653,38.9597594,False,http://twitter.com/MahmutTor/statuses/1279153668927913984,2020-07-03 20:42:54
14464,"Bursa, Osmangazi, Bursa, Marmara Bölgesi, 16230, Türkiye",Türkiye,,Bursa,29.0675481,40.182737,True,http://twitter.com/MahmutTor/statuses/1279153668927913984,2020-07-03 20:42:54
14471,Kenya,Kenya,,,38.4313975,1.4419683,False,http://twitter.com/FRANKMWAURA6/statuses/1279132562766602242,2020-07-03 19:19:02
14579,"Alberta, Canada",Canada,Alberta,,-115.002136,55.001251,False,http://twitter.com/PotatoesCanada/statuses/1278728025471934465,2020-07-02 16:31:33
14585,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/FarmRadioFM/statuses/1278694171868639232,2020-07-02 14:17:02
14720,Canada,Canada,,,-107.991707,61.0666922,False,http://twitter.com/potatonewstoday/statuses/1276924988277301248,2020-06-27 17:06:55
14937,Perú,Perú,,,-75.0458515,-6.8699697,False,http://twitter.com/CGSpaceResearch/statuses/1274040699797868544,2020-06-19 18:05:48
14968,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/CHMMNews/statuses/1273676359710076929,2020-06-18 17:58:02
14968,Éire / Ireland,Éire / Ireland,,,-7.9794599,52.865196,False,http://twitter.com/CHMMNews/statuses/1273676359710076929,2020-06-18 17:58:02
14971,United Kingdom,United Kingdom,,,-3.2765753,54.7023545,False,http://twitter.com/ProMED_mail/statuses/1273655036720173062,2020-06-18 16:33:18
15209,"Northeast Alabama Regional Airport, Turnberry Lane, Gadsden, Etowah County, Alabama, 35906, United States",United States,Alabama,,-86.08689277,33.97167755,True,http://twitter.com/alabamaED/statuses/1268695957379657728,2020-06-05 00:07:42
15790,Ōu,,,,10.0,51.0,False,http://twitter.com/potatonewstoday/statuses/1254847132621852675,2020-04-27 18:57:25
16233,Ōu,,,,10.0,51.0,False,http://twitter.com/DawnRoseTurner/statuses/1241734611903733760,2020-03-22 14:32:56
16736,"Great Britain, United Kingdom",United Kingdom,,,-1.918153211,54.3151594,False,http://twitter.com/talbotlabTSL/statuses/1232429040331640837,2020-02-25 22:15:55
16748,Brasil,Brasil,,,-53.2,-10.3333333,False,http://twitter.com/LandbouLisa/statuses/1232174090800320512,2020-02-25 05:22:50
16776,Ecuador,Ecuador,,,-79.3666965,-1.3397668,False,http://twitter.com/EurekaMag/statuses/1231592312318251009,2020-02-23 14:51:03
16981,Magyarország,Magyarország,,,19.5060937,47.1817585,False,http://twitter.com/EurekaMag/statuses/1225473997128650753,2020-02-06 17:39:03
17056,"Plateau, Nigeria",Nigeria,Plateau,,9.6826289,9.0583446,False,http://twitter.com/spotile/statuses/1223140743453110273,2020-01-31 07:07:32
17138,"Plateau, Nigeria",Nigeria,Plateau,,9.6826289,9.0583446,False,http://twitter.com/Agrolife17/statuses/1221388660416897029,2020-01-26 11:05:23
17155,"Plateau, Nigeria",Nigeria,Plateau,,9.6826289,9.0583446,False,http://twitter.com/9ja_agric/statuses/1220719143638511618,2020-01-24 14:44:58
17175,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/TTAC_CAPITAL/statuses/1220266934119174147,2020-01-23 08:48:03
17368,Ōu,,,,10.0,51.0,False,http://twitter.com/PhytophthoraLab/statuses/1216750050618961920,2020-01-13 15:53:12
17455,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/FarmRadioFM/statuses/1214913909334904832,2020-01-08 14:17:02
17458,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/FarmRadioFM/statuses/1214867100545814528,2020-01-08 11:11:02
17505,"Jalandhar, Jalandhar I Tahsil, Jalandhar District, Punjab, 144001, India",India,Punjab,Jalandhar,75.576889,31.3323762,True,http://twitter.com/HindustanTimes/statuses/1213873921339953152,2020-01-05 17:24:30
17512,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/HarunMuthuri/statuses/1213362948988641280,2020-01-04 07:34:04
17529,Africa,,,,17.7578122,11.5024338,False,http://twitter.com/ProMED_mail/statuses/1213106011478937601,2020-01-03 14:33:06
17529,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/ProMED_mail/statuses/1213106011478937601,2020-01-03 14:33:06
17620,Perú,Perú,,,-75.0458515,-6.8699697,False,http://twitter.com/wileyplantsci/statuses/1210934723515736064,2019-12-28 14:45:10
17764,Perú,Perú,,,-75.0458515,-6.8699697,False,http://twitter.com/BSPPjournals/statuses/1208311569299525633,2019-12-21 09:01:42
18141,Perú,Perú,,,-75.0458515,-6.8699697,False,http://twitter.com/EvoMPMI/statuses/1201122846572978176,2019-12-01 12:56:17
18158,Perú,Perú,,,-75.0458515,-6.8699697,False,http://twitter.com/PhytophthoraLab/statuses/1200134425633144832,2019-11-28 19:28:39
18432,Asia,,,,89.2343748,51.2086975,False,http://twitter.com/Llewelyn68/statuses/1189829757053128704,2019-10-31 09:01:34
18683,"Michigan, United States",United States,Michigan,,-84.6824346,43.6211955,False,http://twitter.com/SpartySpudNBeet/statuses/1179468706490880000,2019-10-02 18:50:27
18858,Kenya,Kenya,,,38.4313975,1.4419683,False,http://twitter.com/Llewelyn68/statuses/1176179133606440960,2019-09-23 16:58:52
18858,Nigeria,Nigeria,,,7.9999721,9.6000359,False,http://twitter.com/Llewelyn68/statuses/1176179133606440960,2019-09-23 16:58:52
18889,India,India,,,78.6677428,22.3511148,False,http://twitter.com/par_papers/statuses/1175400419138293761,2019-09-21 13:24:32
18928,"Pennsylvania, United States",United States,Pennsylvania,,-77.7278831,40.9699889,False,http://twitter.com/PSUVeggieTeam/statuses/1175055292075261955,2019-09-20 14:33:07
19095,Éire / Ireland,Éire / Ireland,,,-7.9794599,52.865196,False,http://twitter.com/BethAllenRE/statuses/1169699519254024192,2019-09-05 19:51:12
19115,"Tyrone, Blair County, Pennsylvania, United States",United States,Pennsylvania,,-78.2383479,40.6705508,True,http://twitter.com/PSUVeggieTeam/statuses/1169018287503659011,2019-09-03 22:44:13
19115,"Pennsylvania, United States",United States,Pennsylvania,,-77.7278831,40.9699889,False,http://twitter.com/PSUVeggieTeam/statuses/1169018287503659011,2019-09-03 22:44:13
